init_preserve,cluster_sim,min_merge,flush_interval,total_time_s,num_centroids,recall
2,0.8,0.6,512,0.2018161999876611,0,0.0
2,0.8,0.8,128,0.1817905000061728,0,0.0
2,0.8,0.8,256,0.18344559997785836,0,0.0
2,0.8,0.8,512,0.20776449999539182,0,0.0
5,0.4,,128,0.19245549995684996,0,0.0
5,0.4,,256,0.17631999996956438,0,0.0
5,0.4,,512,0.21257340000011027,0,0.0
5,0.4,0.6,128,0.22353620000649244,0,0.0
5,0.4,0.6,256,0.20651340001495555,0,0.0
5,0.4,0.6,512,0.20820469997124746,0,0.0
5,0.4,0.8,128,0.2048248000210151,0,0.0
5,0.4,0.8,256,0.1945541999884881,0,0.0
5,0.4,0.8,512,0.20018129999516532,0,0.0
5,0.6,,128,0.1897581000230275,0,0.0
5,0.6,,256,0.18477420002454892,0,0.0
5,0.6,,512,0.1865131999948062,0,0.0
5,0.6,0.6,128,0.18138470000121742,0,0.0
5,0.6,0.6,256,0.17692380002699792,0,0.0
5,0.6,0.6,512,0.18685009999899194,0,0.0
5,0.6,0.8,128,0.2034591999836266,0,0.0
5,0.6,0.8,256,0.18229720002273098,0,0.0
5,0.6,0.8,512,0.17883779999101534,0,0.0
5,0.8,,128,0.1976896999985911,0,0.0
5,0.8,,256,0.19993860000977293,0,0.0
5,0.8,,512,0.20293610001681373,0,0.0
5,0.8,0.6,128,0.20453180000185966,0,0.0
5,0.8,0.6,256,0.17610780004179105,0,0.0
5,0.8,0.6,512,0.19287669996265322,0,0.0
5,0.8,0.8,128,0.20221489999676123,0,0.0
5,0.8,0.8,256,0.19746329996269196,0,0.0
5,0.8,0.8,512,0.17797059996519238,0,0.0
10,0.4,,128,0.19912440003827214,0,0.0
10,0.4,,256,0.18570170004386455,0,0.0
10,0.4,,512,0.1728129000402987,0,0.0
10,0.4,0.6,128,0.17529650003416464,0,0.0
10,0.4,0.6,256,0.16262970003299415,0,0.0
10,0.4,0.6,512,0.18015660002129152,0,0.0
10,0.4,0.8,128,0.17570550000527874,0,0.0
10,0.4,0.8,256,0.1651681999792345,0,0.0
10,0.4,0.8,512,0.1868310000281781,0,0.0
10,0.6,,128,0.22232790000271052,0,0.0
10,0.6,,256,0.17271770001389086,0,0.0
10,0.6,,512,0.16975489998003468,0,0.0
10,0.6,0.6,128,0.2667801000061445,0,0.0
10,0.6,0.6,256,0.19709999999031425,0,0.0
10,0.6,0.6,512,0.1706146000069566,0,0.0
10,0.6,0.8,128,0.19220160000259057,0,0.0
10,0.6,0.8,256,0.18293080001603812,0,0.0
10,0.6,0.8,512,0.18181179999373853,0,0.0
10,0.8,,128,0.18328409997047856,0,0.0
10,0.8,,256,0.18131229997379705,0,0.0
10,0.8,,512,0.16004480002447963,0,0.0
10,0.8,0.6,128,0.1859036999521777,0,0.0
10,0.8,0.6,256,0.1941097999806516,0,0.0
10,0.8,0.6,512,0.1788269000244327,0,0.0
10,0.8,0.8,128,0.1938287999946624,0,0.0
10,0.8,0.8,256,0.1770507000037469,0,0.0
10,0.8,0.8,512,0.16907330002868548,0,0.0
